Timestamp,¿Has escuchado el término fast fashion?,¿Asocias a Zara con fast fashion?,¿Qué factor influye más en su decisión de compra de ropa?,¿Dónde suele comprar en Zara?,"En una escala de 1 a 5, ¿qué tan importante es para usted la sostenibilidad al comprar ropa? ","Si Zara ofreciera ropa más sostenible con un precio ligeramente mayor, ¿la compraría? ",¿Qué información le gustaría encontrar en la web de Zara para decidir de forma más sostenible?,¿En qué aspecto debería enfocarse más Zara en el futuro? ,¿En qué rango de edad se encuentra? ,¿Cuál es su género? 
02/10/2025 17:14:29,Sí,Sí,Precio,Tienda física,5,Sí,"Huella de carbono por prenda, Opciones de reciclaje/devolución",Ofrecer ropa más sostenible,18–25,Prefiero no decirlo
02/10/2025 17:15:42,Sí,No,Diseño/estilo,Online (web/app),1,No,Origen de materiales,Mejorar la calidad,45–54,Femenino
02/10/2025 17:17:59,Sí,No estoy seguro/a,Calidad/durabilidad,Tienda física,4,Sí,Origen de materiales,Mejorar la calidad,45–54,Masculino
02/10/2025 17:18:24,Sí,No estoy seguro/a,Precio,Ambas,3,Tal vez,Opciones de reciclaje/devolución,Mantener precios accesibles,25–34,Femenino
02/10/2025 17:19:53,Sí,No,Calidad/durabilidad,Online (web/app),3,Tal vez,"Origen de materiales, Huella de carbono por prenda, Condiciones laborales, Opciones de reciclaje/devolución",Fortalecer el canal online,35–44,Masculino
02/10/2025 17:27:22,No,No estoy seguro/a,Diseño/estilo,No compro en Zara,,,,,45–54,Masculino
02/10/2025 17:30:39,No,No,Calidad/durabilidad,Tienda física,4,Sí,Opciones de reciclaje/devolución,Mejorar la calidad,55 o más,Femenino
02/10/2025 17:37:17,Sí,No,Precio,Tienda física,3,Tal vez,"Huella de carbono por prenda, Opciones de reciclaje/devolución",Mantener precios accesibles,18–25,Femenino
02/10/2025 17:41:34,Sí,No estoy seguro/a,Diseño/estilo,Tienda física,5,Tal vez,"Huella de carbono por prenda, Condiciones laborales",Mejorar la calidad,18–25,Masculino
02/10/2025 17:42:19,Sí,Sí,Diseño/estilo,Tienda física,4,Tal vez,"Origen de materiales, Opciones de reciclaje/devolución",Mejorar la calidad,18–25,Masculino
02/10/2025 17:50:34,No,No,Precio,Tienda física,2,No,Opciones de reciclaje/devolución,Mantener precios accesibles,45–54,Masculino
02/10/2025 17:51:47,No,No,Calidad/durabilidad,No compro en Zara,,,,,45–54,Masculino
02/10/2025 17:52:45,No,No,Diseño/estilo,Tienda física,1,No,Opciones de reciclaje/devolución,Mantener precios accesibles,45–54,Femenino
02/10/2025 17:56:36,No,Sí,Precio,No compro en Zara,,,,,Menos de 18,Femenino
02/10/2025 17:56:51,Sí,Sí,Diseño/estilo,No compro en Zara,,,,,45–54,Femenino
02/10/2025 17:57:14,Sí,Sí,Precio,Tienda física,5,Sí,Condiciones laborales,Mantener precios accesibles,45–54,Femenino
02/10/2025 17:58:40,Sí,Sí,Precio,No compro en Zara,,,,,18–25,Femenino
02/10/2025 17:58:56,No,No,Precio,Tienda física,3,No,Opciones de reciclaje/devolución,Mantener precios accesibles,45–54,Femenino
02/10/2025 18:01:16,No,Sí,Diseño/estilo,Tienda física,3,Tal vez,Condiciones laborales,Ofrecer ropa más sostenible,45–54,Femenino
02/10/2025 18:03:32,No,No,Diseño/estilo,Tienda física,1,Tal vez,Condiciones laborales,Mantener precios accesibles,18–25,Masculino
02/10/2025 18:04:00,No,No estoy seguro/a,Diseño/estilo,Tienda física,2,Tal vez,"Origen de materiales, Condiciones laborales, Opciones de reciclaje/devolución",Innovar en diseño,45–54,Femenino
02/10/2025 18:06:27,Sí,Sí,Calidad/durabilidad,Tienda física,3,Sí,"Origen de materiales, Opciones de reciclaje/devolución",Mantener precios accesibles,18–25,Femenino
02/10/2025 18:06:36,No,No,Precio,No compro en Zara,,,,,35–44,Femenino
02/10/2025 18:17:55,No,No estoy seguro/a,Precio,No compro en Zara,,,,,45–54,Masculino
02/10/2025 18:18:54,Sí,Sí,Diseño/estilo,Tienda física,4,Tal vez,Opciones de reciclaje/devolución,Mantener precios accesibles,45–54,Femenino
02/10/2025 18:21:50,Sí,Sí,Diseño/estilo,Tienda física,3,Sí,Opciones de reciclaje/devolución,Ofrecer ropa más sostenible,25–34,Femenino
02/10/2025 18:36:18,Sí,Sí,Diseño/estilo,Tienda física,3,Sí,Origen de materiales,Fortalecer el canal online,55 o más,Femenino
02/10/2025 18:41:56,Sí,Sí,Calidad/durabilidad,Ambas,4,No,"Origen de materiales, Condiciones laborales",Ofrecer ropa más sostenible,18–25,Femenino
02/10/2025 18:43:09,No,No estoy seguro/a,Precio,No compro en Zara,,,,,18–25,Masculino
02/10/2025 18:43:56,No,No,Diseño/estilo,Tienda física,2,No,"Condiciones laborales, Opciones de reciclaje/devolución",Mantener precios accesibles,35–44,Masculino
02/10/2025 18:50:37,Sí,No,Diseño/estilo,No compro en Zara,,,,,45–54,Femenino
02/10/2025 18:58:40,Sí,No,Diseño/estilo,Tienda física,2,Tal vez,Opciones de reciclaje/devolución,Mantener precios accesibles,18–25,Femenino
02/10/2025 19:14:30,Sí,Sí,Diseño/estilo,No compro en Zara,,,,,18–25,Masculino
02/10/2025 19:20:42,Sí,Sí,Diseño/estilo,Tienda física,2,Tal vez,Origen de materiales,Mantener precios accesibles,18–25,Femenino
02/10/2025 19:21:17,Sí,No estoy seguro/a,Precio,No compro en Zara,,,,,18–25,Masculino
02/10/2025 19:38:56,Sí,No estoy seguro/a,Calidad/durabilidad,Tienda física,3,No,Opciones de reciclaje/devolución,Mantener precios accesibles,Menos de 18,Femenino
02/10/2025 19:41:26,Sí,Sí,Precio,No compro en Zara,,,,,35–44,Femenino
02/10/2025 19:45:18,No,No estoy seguro/a,Calidad/durabilidad,Tienda física,3,Tal vez,Origen de materiales,Mantener precios accesibles,45–54,Femenino
02/10/2025 19:47:16,Sí,Sí,Calidad/durabilidad,No compro en Zara,,,,,35–44,Femenino
02/10/2025 19:48:55,Sí,Sí,Calidad/durabilidad,Tienda física,3,Tal vez,"Origen de materiales, Huella de carbono por prenda, Condiciones laborales",Mejorar la calidad,25–34,Femenino
02/10/2025 19:51:49,Sí,Sí,Calidad/durabilidad,No compro en Zara,,,,,35–44,Femenino
02/10/2025 19:54:31,Sí,Sí,Diseño/estilo,Ambas,3,Sí,Origen de materiales,Mejorar la calidad,45–54,Femenino
02/10/2025 19:54:44,Sí,Sí,Calidad/durabilidad,Ambas,3,No,Condiciones laborales,Mejorar la calidad,25–34,Femenino
02/10/2025 19:56:08,Sí,Sí,Calidad/durabilidad,Ambas,3,No,Condiciones laborales,Mejorar la calidad,25–34,Femenino
02/10/2025 19:59:11,Sí,Sí,Precio,Tienda física,1,No,Huella de carbono por prenda,Mejorar la calidad,Menos de 18,Femenino
02/10/2025 20:00:29,Sí,Sí,Sostenibilidad/ética,Online (web/app),5,Tal vez,Huella de carbono por prenda,Fortalecer el canal online,Menos de 18,Femenino
02/10/2025 20:04:49,No,No estoy seguro/a,Diseño/estilo,Tienda física,1,No,"Origen de materiales, Huella de carbono por prenda, Condiciones laborales, Opciones de reciclaje/devolución",Mejorar la calidad,25–34,Femenino
02/10/2025 20:06:55,No,No estoy seguro/a,Precio,No compro en Zara,,,,,25–34,Femenino
02/10/2025 20:08:14,No,No,Calidad/durabilidad,No compro en Zara,,,,,25–34,Femenino
02/10/2025 20:09:11,Sí,Sí,Calidad/durabilidad,No compro en Zara,,,,,25–34,Femenino
02/10/2025 20:10:16,No,No estoy seguro/a,Precio,Online (web/app),3,Tal vez,Opciones de reciclaje/devolución,Mantener precios accesibles,25–34,Femenino
02/10/2025 20:11:32,Sí,Sí,Diseño/estilo,Tienda física,1,No,Opciones de reciclaje/devolución,Ofrecer ropa más sostenible,18–25,Masculino
02/10/2025 20:12:04,Sí,No,Calidad/durabilidad,No compro en Zara,,,,,35–44,Femenino
02/10/2025 20:12:42,Sí,No estoy seguro/a,Calidad/durabilidad,Tienda física,4,Sí,"Origen de materiales, Huella de carbono por prenda, Condiciones laborales, Opciones de reciclaje/devolución",Ofrecer ropa más sostenible,25–34,Femenino
02/10/2025 20:13:19,No,No estoy seguro/a,Diseño/estilo,Ambas,2,Tal vez,Condiciones laborales,Mantener precios accesibles,35–44,Femenino
02/10/2025 20:31:10,No,No,Calidad/durabilidad,No compro en Zara,,,,,45–54,Femenino
02/10/2025 20:31:32,Sí,Sí,Diseño/estilo,Tienda física,3,Tal vez,"Origen de materiales, Condiciones laborales, Opciones de reciclaje/devolución",Mejorar la calidad,35–44,Femenino
02/10/2025 20:39:32,No,No,Calidad/durabilidad,Online (web/app),3,No,Origen de materiales,Mantener precios accesibles,35–44,Femenino
02/10/2025 20:51:05,No,Sí,Diseño/estilo,Tienda física,1,No,Opciones de reciclaje/devolución,Mantener precios accesibles,35–44,Femenino
02/10/2025 20:51:05,Sí,Sí,Precio,No compro en Zara,,,,,25–34,Femenino
02/10/2025 20:52:44,Sí,Sí,Precio,No compro en Zara,,,,,45–54,Femenino
02/10/2025 20:54:18,Sí,Sí,Calidad/durabilidad,Online (web/app),3,No,Opciones de reciclaje/devolución,Mejorar la calidad,35–44,Femenino
02/10/2025 20:56:58,Sí,Sí,Calidad/durabilidad,No compro en Zara,,,,,35–44,Masculino
02/10/2025 21:02:09,No,No estoy seguro/a,Diseño/estilo,Ambas,3,Tal vez,Origen de materiales,Mejorar la calidad,45–54,Femenino
02/10/2025 21:09:32,Sí,Sí,Calidad/durabilidad,Online (web/app),3,Sí,"Origen de materiales, Huella de carbono por prenda, Condiciones laborales, Opciones de reciclaje/devolución",Fortalecer el canal online,35–44,Femenino
02/10/2025 21:10:25,No,No estoy seguro/a,Diseño/estilo,Online (web/app),3,No,Opciones de reciclaje/devolución,Ofrecer ropa más sostenible,18–25,Masculino
02/10/2025 21:16:53,Sí,Sí,Diseño/estilo,Tienda física,3,Sí,Origen de materiales,Mantener precios accesibles,55 o más,Femenino
02/10/2025 21:26:08,Sí,Sí,Precio,Ambas,4,Tal vez,"Origen de materiales, Huella de carbono por prenda, Condiciones laborales, Opciones de reciclaje/devolución",Ofrecer ropa más sostenible,18–25,Femenino
02/10/2025 21:34:37,Sí,No estoy seguro/a,Diseño/estilo,Tienda física,3,Tal vez,Huella de carbono por prenda,Mantener precios accesibles,18–25,Masculino
02/10/2025 21:39:38,No,No estoy seguro/a,Precio,Tienda física,1,Tal vez,Condiciones laborales,Mantener precios accesibles,55 o más,Femenino
02/10/2025 21:52:19,Sí,Sí,Diseño/estilo,Tienda física,3,No,"Origen de materiales, Condiciones laborales, Opciones de reciclaje/devolución",Mejorar la calidad,18–25,Femenino
02/10/2025 21:53:17,Sí,Sí,Diseño/estilo,Tienda física,3,No,Opciones de reciclaje/devolución,Mantener precios accesibles,55 o más,Femenino
02/10/2025 21:58:24,No,No estoy seguro/a,Calidad/durabilidad,Ambas,4,Tal vez,Opciones de reciclaje/devolución,Mejorar la calidad,55 o más,Femenino
02/10/2025 22:01:25,No,No,Diseño/estilo,Tienda física,4,Tal vez,Huella de carbono por prenda,Ofrecer ropa más sostenible,55 o más,Femenino
02/10/2025 22:11:14,No,No,Precio,Tienda física,5,Tal vez,Origen de materiales,Mantener precios accesibles,35–44,Femenino
02/10/2025 22:19:10,No,No,Calidad/durabilidad,No compro en Zara,,,,,35–44,Femenino
02/10/2025 22:22:19,No,No,Calidad/durabilidad,Tienda física,5,Sí,Origen de materiales,Mantener precios accesibles,55 o más,Femenino
02/10/2025 22:27:02,Sí,No estoy seguro/a,Calidad/durabilidad,Tienda física,3,Tal vez,Origen de materiales,Mejorar la calidad,55 o más,Femenino
02/10/2025 22:31:59,Sí,No estoy seguro/a,Calidad/durabilidad,Tienda física,4,Sí,Origen de materiales,Ofrecer ropa más sostenible,55 o más,Femenino
02/10/2025 22:45:03,No,No,Diseño/estilo,Tienda física,3,No,"Origen de materiales, Huella de carbono por prenda",Mantener precios accesibles,35–44,Femenino
02/10/2025 23:37:15,No,No estoy seguro/a,Calidad/durabilidad,No compro en Zara,,,,,55 o más,Femenino
03/10/2025 00:22:55,Sí,Sí,Diseño/estilo,No compro en Zara,,,,,45–54,Femenino
03/10/2025 00:23:57,Sí,Sí,Calidad/durabilidad,Tienda física,4,Tal vez,"Origen de materiales, Huella de carbono por prenda, Condiciones laborales",Mejorar la calidad,35–44,Femenino
03/10/2025 00:24:09,No,No estoy seguro/a,Precio,No compro en Zara,,,,,25–34,Masculino
03/10/2025 00:24:57,Sí,No,Calidad/durabilidad,Ambas,3,No,"Origen de materiales, Condiciones laborales, Opciones de reciclaje/devolución",Mantener precios accesibles,18–25,Masculino
03/10/2025 00:27:32,No,No estoy seguro/a,Precio,Tienda física,1,Sí,"Condiciones laborales, Opciones de reciclaje/devolución",Ofrecer ropa más sostenible,18–25,Masculino
03/10/2025 00:29:53,Sí,Sí,Sostenibilidad/ética,No compro en Zara,,,,,18–25,Masculino
03/10/2025 00:30:27,No,No,Diseño/estilo,Tienda física,1,Sí,Opciones de reciclaje/devolución,Ofrecer ropa más sostenible,18–25,Masculino
03/10/2025 00:30:43,Sí,Sí,Sostenibilidad/ética,No compro en Zara,,,,,18–25,Femenino
03/10/2025 00:31:21,No,No estoy seguro/a,Calidad/durabilidad,Ambas,5,Sí,"Origen de materiales, Opciones de reciclaje/devolución",Mejorar la calidad,25–34,Masculino
03/10/2025 07:16:57,No,No estoy seguro/a,Precio,No compro en Zara,,,,,35–44,Femenino
03/10/2025 07:31:55,Sí,No,Precio,Tienda física,3,Tal vez,Condiciones laborales,Ofrecer ropa más sostenible,45–54,Femenino
03/10/2025 07:40:13,No,No,Calidad/durabilidad,Ambas,4,Tal vez,Opciones de reciclaje/devolución,Mantener precios accesibles,55 o más,Femenino
03/10/2025 07:42:50,Sí,Sí,Precio,Online (web/app),2,No,Opciones de reciclaje/devolución,Mantener precios accesibles,35–44,Femenino
03/10/2025 08:15:54,Sí,No,Calidad/durabilidad,Tienda física,3,Tal vez,Opciones de reciclaje/devolución,Mantener precios accesibles,45–54,Masculino
03/10/2025 10:49:03,Sí,Sí,Precio,Tienda física,3,Tal vez,Huella de carbono por prenda,Ofrecer ropa más sostenible,35–44,Femenino
03/10/2025 11:19:07,No,No,Diseño/estilo,No compro en Zara,,,,,18–25,Masculino
03/10/2025 11:19:08,No,No,Precio,Ambas,3,Tal vez,Condiciones laborales,Ofrecer ropa más sostenible,55 o más,Femenino
03/10/2025 11:28:21,Sí,No estoy seguro/a,Diseño/estilo,Ambas,3,Tal vez,"Origen de materiales, Huella de carbono por prenda, Opciones de reciclaje/devolución",Mantener precios accesibles,18–25,Femenino
03/10/2025 12:15:10,No,No estoy seguro/a,Calidad/durabilidad,Tienda física,5,Tal vez,Opciones de reciclaje/devolución,Mantener precios accesibles,18–25,Femenino
03/10/2025 13:03:36,Sí,Sí,Precio,Tienda física,3,No,Opciones de reciclaje/devolución,Mantener precios accesibles,18–25,Femenino
03/10/2025 17:52:02,Sí,Sí,Calidad/durabilidad,No compro en Zara,,,,,18–25,Femenino
03/10/2025 18:42:17,No,No,Calidad/durabilidad,No compro en Zara,,,,,45–54,Masculino
03/10/2025 22:09:32,No,No estoy seguro/a,Diseño/estilo,Tienda física,3,Tal vez,Origen de materiales,Innovar en diseño,55 o más,Femenino
04/10/2025 03:53:25,Sí,No estoy seguro/a,Precio,Tienda física,5,No,Opciones de reciclaje/devolución,Mantener precios accesibles,18–25,Femenino
04/10/2025 19:22:09,Sí,Sí,Precio,Tienda física,3,Tal vez,Huella de carbono por prenda,Mejorar la calidad,18–25,Femenino
04/10/2025 23:47:52,Sí,Sí,Sostenibilidad/ética,No compro en Zara,,,,,18–25,Femenino
04/10/2025 23:48:42,No,Sí,Diseño/estilo,Online (web/app),1,No,Opciones de reciclaje/devolución,Mejorar la calidad,18–25,Femenino
04/10/2025 23:49:11,Sí,No,Precio,Tienda física,3,No,Huella de carbono por prenda,Mejorar la calidad,Menos de 18,Masculino
04/10/2025 23:49:38,No,No,Diseño/estilo,Tienda física,2,Tal vez,"Huella de carbono por prenda, Opciones de reciclaje/devolución",Ofrecer ropa más sostenible,45–54,Femenino
04/10/2025 23:50:06,Sí,No,Precio,Ambas,5,Tal vez,"Origen de materiales, Condiciones laborales",Mantener precios accesibles,Menos de 18,Femenino
04/10/2025 23:50:34,Sí,Sí,Precio,Tienda física,5,Sí,"Huella de carbono por prenda, Opciones de reciclaje/devolución",Fortalecer el canal online,45–54,Femenino
04/10/2025 23:52:32,Sí,Sí,Diseño/estilo,Online (web/app),3,Sí,Opciones de reciclaje/devolución,Mejorar la calidad,Menos de 18,Masculino
04/10/2025 23:52:56,Sí,No,Diseño/estilo,Ambas,5,Tal vez,Opciones de reciclaje/devolución,Mantener precios accesibles,18–25,Masculino
04/10/2025 23:53:25,No,No estoy seguro/a,Calidad/durabilidad,Ambas,2,Tal vez,Condiciones laborales,Fortalecer el canal online,35–44,Masculino
04/10/2025 23:53:42,Sí,Sí,Precio,No compro en Zara,,,,,25–34,Masculino
04/10/2025 23:54:01,Sí,Sí,Calidad/durabilidad,No compro en Zara,,,,,45–54,Masculino
05/10/2025 11:36:46,No,No,Diseño/estilo,No compro en Zara,,,,,45–54,Femenino
06/10/2025 18:46:55,Sí,No estoy seguro/a,Calidad/durabilidad,Tienda física,3,No,Opciones de reciclaje/devolución,Mantener precios accesibles,18–25,Femenino
06/10/2025 18:48:49,Sí,Sí,Precio,Ambas,4,No,"Origen de materiales, Condiciones laborales, Opciones de reciclaje/devolución",Mejorar la calidad,18–25,Femenino
06/10/2025 21:06:52,Sí,Sí,Precio,Tienda física,1,Tal vez,Huella de carbono por prenda,Mejorar la calidad,18–25,Femenino
06/10/2025 22:16:12,Sí,Sí,Diseño/estilo,Tienda física,3,Sí,Origen de materiales,Mantener precios accesibles,35–44,Masculino
06/10/2025 22:18:01,Sí,Sí,Diseño/estilo,Tienda física,4,Tal vez,"Huella de carbono por prenda, Condiciones laborales",Mejorar la calidad,25–34,Masculino
06/10/2025 22:22:47,No,No,Calidad/durabilidad,No compro en Zara,,,,,18–25,Femenino
06/10/2025 22:23:25,Sí,No,Calidad/durabilidad,Tienda física,4,Sí,Opciones de reciclaje/devolución,Mantener precios accesibles,Menos de 18,Masculino
06/10/2025 22:25:32,Sí,Sí,Calidad/durabilidad,Tienda física,3,Sí,Condiciones laborales,Innovar en diseño,25–34,Masculino
06/10/2025 22:27:32,Sí,Sí,Diseño/estilo,Tienda física,5,Tal vez,"Origen de materiales, Huella de carbono por prenda",Ofrecer ropa más sostenible,25–34,Masculino
06/10/2025 22:29:40,Sí,Sí,Sostenibilidad/ética,Tienda física,5,Sí,"Origen de materiales, Huella de carbono por prenda, Condiciones laborales",Innovar en diseño,25–34,Femenino
06/10/2025 22:30:11,No,No estoy seguro/a,Precio,No compro en Zara,,,,,45–54,Femenino
06/10/2025 22:32:02,Sí,Sí,Diseño/estilo,Online (web/app),5,Tal vez,"Huella de carbono por prenda, Opciones de reciclaje/devolución",Mejorar la calidad,35–44,Femenino
06/10/2025 22:34:55,Sí,No estoy seguro/a,Sostenibilidad/ética,No compro en Zara,,,,,25–34,Masculino
06/10/2025 23:02:54,No,No estoy seguro/a,Precio,Tienda física,1,No,Huella de carbono por prenda,Fortalecer el canal online,18–25,Masculino
07/10/2025 00:12:50,No,No,Calidad/durabilidad,Ambas,5,Tal vez,Origen de materiales,Mantener precios accesibles,18–25,Masculino
07/10/2025 00:57:01,Sí,No estoy seguro/a,Precio,Online (web/app),5,Sí,Huella de carbono por prenda,Ofrecer ropa más sostenible,25–34,Femenino
07/10/2025 08:00:10,Sí,Sí,Diseño/estilo,Tienda física,3,Tal vez,Origen de materiales,Mejorar la calidad,18–25,Femenino
07/10/2025 08:12:03,Sí,No,Diseño/estilo,Online (web/app),1,No,"Huella de carbono por prenda, Opciones de reciclaje/devolución",Innovar en diseño,25–34,Femenino
07/10/2025 08:12:18,Sí,No,Diseño/estilo,No compro en Zara,,,,,35–44,Femenino
07/10/2025 08:12:38,Sí,No,Precio,Tienda física,2,Tal vez,Huella de carbono por prenda,Innovar en diseño,25–34,Masculino
07/10/2025 08:13:00,Sí,No estoy seguro/a,Precio,Online (web/app),5,Sí,Opciones de reciclaje/devolución,Innovar en diseño,45–54,Masculino
07/10/2025 08:15:50,Sí,No,Precio,Ambas,5,Tal vez,Opciones de reciclaje/devolución,Mantener precios accesibles,18–25,Femenino
07/10/2025 08:16:06,Sí,No estoy seguro/a,Precio,No compro en Zara,,,,,18–25,Masculino
07/10/2025 08:16:28,Sí,Sí,Precio,Tienda física,5,No,"Origen de materiales, Condiciones laborales, Opciones de reciclaje/devolución",Innovar en diseño,18–25,Femenino
07/10/2025 08:16:59,Sí,Sí,Precio,Ambas,5,No,Opciones de reciclaje/devolución,Mejorar la calidad,18–25,Femenino
